FullName,PlayerName,Affiliation,Champions League,League,League Nation,Jersey,Birth Date,Age,Height (meters),Position,Foot,Agent,Agent Yes/No,PlayerSponsor,Nationality,Nation/League,Continent,Games Played,2018/19 Games Played,Market Value (Euros),Accumulated Transfer Sums (Euros),Highest Market Value (Euros),Highest Market Value Date,Years Since Peak,NationalTeamCaps,MostRecentInjury
Lucas François Bernard Hernández,Lucas Hernandez,Bayern Munich,Yes,Bundesliga,Germany,#21,2/14/1996,23,1.82,Defender ,left,Manuel García ...,Yes,Nike,France,No,UEFA,0,14,70000000,80000000,70000000,2/28/2019,0,17,"Intraarticular ligament crack in the ankle: Return expected on Dec 22, 2019"
David de Gea Quintana,David de Gea,Man Utd,No,Premier League,England,#1,11/7/1990,29,1.89,Goalkeeper,right,Relatives,Yes,adidas,Spain,No,UEFA,12,38,65000000,25000000,70000000,5/28/2018,1,41,NA
Jorge Luiz Frello Filho,Jorginho,Chelsea,Yes,Premier League,England,#5,12/20/1991,27,1.80,Midfielder ,right,JSPORTS MANAGEMENT ...,Yes,Nike,Italy,No,UEFA,1,37,65000000,66500000,65000000,12/19/2018,0,21,NA
Tanguy Ndombélé Alvaro,Tanguy Ndombele,Spurs,Yes,Premier League,England,#28,12/28/1996,22,1.81,Midfielder ,right,NA,No,adidas,France,No,UEFA,2,34,65000000,70000000,65000000,6/3/2019,0,6,NA
,Robert Lewandowski,Bayern Munich,Yes,Bundesliga,Germany,#9,8/21/1988,31,1.84,Forward ,right,Pinhas Zahavi,Yes,Nike,Poland,No,UEFA,16,33,65000000,5150000,90000000,4/4/2018,1,112,NA
Sergio Leonel Aguero del Castillo,Sergio Aguero,Man City,Yes,Premier League,England,#10,6/2/1988,31,1.73,Forward ,right,Eleven Talent Group,Yes,Puma,Argentina,No,CONMEBOL,9,33,65000000,61700000,80000000,5/28/2018,1,97,NA
,Sergej Milinkovic-Savic,Lazio,No,Serie A,Italy,#21,2/27/1995,24,1.91,Midfielder ,right,Mateja Kezman,Yes,Nike,Serbia,No,UEFA,2,31,65000000,19000000,90000000,6/7/2018,1,15,NA
Marcos Aoás Corrêa,Marquinhos,Paris SG,Yes,Ligue 1,France,#5,5/14/1994,25,1.83,Defender ,right,Bertolucci Sports,Yes,Nike,Brazil,No,CONMEBOL,1,30,65000000,38600000,65000000,6/3/2019,0,46,NA
,Timo Werner,RB Leipzig,Yes,Bundesliga,Germany,#11,3/6/1996,23,1.81,Forward ,right,Karlheinz Förster,Yes,adidas,Germany,Yes,UEFA,11,30,65000000,14000000,65000000,12/18/2018,0,28,NA
,Lorenzo Insigne,SSC Napoli,Yes,Serie A,Italy,#24,6/4/1991,28,1.63,Forward ,right,Mino Raiola,Yes,adidas,Italy,Yes,UEFA,3,28,65000000,0,75000000,12/20/2018,1,34,NA
,Federico Chiesa,Fiorentina,No,Serie A,Italy,#25,10/25/1997,22,1.80,Forward ,right,Relatives,Yes,Other,Italy,Yes,UEFA,2,37,60000000,0,60000000,6/6/2019,0,17,NA
Mikel Oyarzabal Ugarte,Mikel Oyarzabal,Real Sociedad,No,LaLiga,Spain,#10,4/21/1997,22,1.81,Forward ,left,NA,No,Nike,Spain,Yes,UEFA,4,37,60000000,0,60000000,9/10/2019,0,7,NA
Kepa Arrizabalaga Revuelta,Kepa,Chelsea,Yes,Premier League,England,#1,10/3/1994,25,1.86,Goalkeeper,right,Bahía Internacional,Yes,adidas,Spain,No,UEFA,17,36,60000000,80000000,60000000,6/13/2019,0,10,NA
,Andrew Robertson,Liverpool,Yes,Premier League,England,#26,3/11/1994,25,1.78,Defender ,left,Pro Legal Group,Yes,Nike,Scotland,No,UEFA,1,36,60000000,12600000,60000000,6/13/2019,0,34,NA
Milan skriniar,Milan Skriniar,Inter,Yes,Serie A,Italy,#37,2/11/1995,24,1.87,Defender ,right,Stars & Friends,Yes,Other,Slovakia,No,UEFA,0,35,60000000,40000000,60000000,12/20/2018,0,23,NA
Allan Marques Loureiro,Allan,SSC Napoli,Yes,Serie A,Italy,#5,1/8/1991,28,1.75,Midfielder ,right,Eduardo Uram,Yes,Other,Brazil,No,CONMEBOL,0,33,60000000,17500000,60000000,3/1/2019,0,8,NA
Bruno Miguel Borges Fernandes,Bruno Fernandes,Sporting CP,No,Liga NOS,Portugal,#8,9/8/1994,25,1.83,Midfielder ,right,POSITIONUMBER,Yes,Nike,Portugal,Yes,UEFA,5,33,60000000,19230000,60000000,10/11/2019,0,18,NA
,Luka Jovic,Real Madrid,Yes,LaLiga,Spain,#18,12/23/1997,21,1.82,Forward ,both,LIAN SPORTS,Yes,adidas,Serbia,No,UEFA,1,32,60000000,73800000,60000000,6/5/2019,0,7,NA
,Niklas Sule,Bayern Munich,Yes,Bundesliga,Germany,#4,9/3/1995,24,1.95,Defender ,right,Karlheinz Förster,Yes,Other,Germany,Yes,UEFA,0,31,60000000,20000000,60000000,6/5/2019,0,24,"Cruciate Ligament Rupture: Return expected on Apr 30, 2020"
Serge David Gnabry,Serge Gnabry,Bayern Munich,Yes,Bundesliga,Germany,#22,7/14/1995,24,1.75,Forward ,right,Spielerrat GmbH,Yes,Nike,Germany,Yes,UEFA,3,30,60000000,14100000,60000000,6/5/2019,0,13,NA
Marco Asensio Willemsen,Marco Asensio,Real Madrid,Yes,LaLiga,Spain,#20,1/21/1996,23,1.82,Forward ,left,Horacio Gaggioli,Yes,Nike,Spain,Yes,UEFA,14,30,60000000,3500000,90000000,10/31/2018,1,24,"Cruciate Ligament Rupture: Return expected on Feb 29, 2020"
Carlos Henrique Casemiro,Casemiro,Real Madrid,Yes,LaLiga,Spain,#14,2/23/1992,27,1.85,Midfielder ,right,Best of You,Yes,Nike,Brazil,No,CONMEBOL,1,29,60000000,14700000,70000000,10/31/2018,1,44,NA
,Nabil Fekir,Real Betis,No,LaLiga,Spain,#8,7/18/1993,26,1.73,Midfielder ,left,NA,No,Nike,France,No,UEFA,3,29,60000000,19750000,70000000,12/17/2018,1,23,NA
Gareth Frank Bale,Gareth Bale,Real Madrid,Yes,LaLiga,Spain,#11,7/16/1989,30,1.85,Forward ,left,Stellar Football Ltd,Yes,adidas,Wales,No,UEFA,2,29,60000000,115700000,90000000,7/15/2016,3,79,NA
,Toni Kroos,Real Madrid,Yes,LaLiga,Spain,#8,1/4/1990,29,1.83,Midfielder ,right,SportsTotal,Yes,adidas,Germany,No,UEFA,2,28,60000000,27300000,80000000,1/1/2018,1,95,NA
,Riyad Mahrez,Man City,Yes,Premier League,England,#26,2/21/1991,28,1.79,Forward ,left,no agent,Yes,Nike,Algeria,No,CAF,2,27,60000000,68300000,60000000,8/13/2018,0,57,NA
Anthony Joran Martial,Anthony Martial,Man Utd,No,Premier League,England,#9,12/5/1995,23,1.83,Forward ,right,USFA Management,Yes,Nike,France,No,UEFA,3,27,60000000,65000000,65000000,1/2/2018,1,18,NA
Francisco Román Alarcón Suárez,Isco,Real Madrid,Yes,LaLiga,Spain,#22,4/21/1992,27,1.76,Midfielder ,right,Relatives,Yes,Nike,Spain,Yes,UEFA,0,27,60000000,36000000,90000000,10/31/2018,1,38,NA
Fabián Ruiz Pena,Fabian Ruiz,SSC Napoli,Yes,Serie A,Italy,#8,4/3/1996,23,1.89,Midfielder ,left,YOU FIRST SPORTS ,Yes,Other,Spain,No,UEFA,1,27,60000000,30000000,60000000,10/8/2019,0,6,NA
,John Stones,Man City,Yes,Premier League,England,#5,5/28/1994,25,1.88,Defender ,right,NA,No,Nike,England,Yes,UEFA,0,24,60000000,59100000,60000000,12/19/2018,0,38,NA
,Clement Lenglet,FC Barcelona,Yes,LaLiga,Spain,#15,6/17/1995,24,1.86,Defender ,left,Wasserman,Yes,Other,France,No,UEFA,1,23,60000000,41300000,60000000,6/11/2019,0,4,NA
Kingsley Junior Coman,Kingsley Coman,Bayern Munich,Yes,Bundesliga,Germany,#29,6/13/1996,23,1.79,Forward ,right,Together For You,Yes,Nike,France,No,UEFA,1,21,60000000,28000000,60000000,10/2/2019,0,22,NA
Christian Mate Pulisic,Christian Pulisic,Chelsea,Yes,Premier League,England,#22,9/18/1998,21,1.72,Forward ,right,Relatives,Yes,Nike,United States,No,CONCACAF,5,20,60000000,64000000,60000000,3/6/2019,0,34,NA
,Gianluigi Donnarumma,AC Milan,No,Serie A,Italy,#99,2/25/1999,20,1.96,Goalkeeper,right,Mino Raiola,Yes,adidas,Italy,Yes,UEFA,15,36,55000000,250000,55000000,6/6/2019,0,16,NA
Lucas Sebastian Torreira Di Pascua,Lucas Torreira,Arsenal,No,Premier League,England,#11,2/11/1996,23,1.66,Midfielder ,right,Oscar Bentancourt,Yes,Other,Uruguay,No,CONMEBOL,1,34,55000000,31650000,55000000,12/19/2018,0,23,NA
Dazet Wilfried Armel Zaha,Wilfried Zaha,Crystal Palace,No,Premier League,England,#11,11/10/1992,27,1.80,Forward ,right,Unique Sports ...,Yes,Other,Cote d'Ivoire,No,CAF,0,34,55000000,17350000,55000000,9/12/2019,0,17,NA
David Olatukunbo Alaba,David Alaba,Bayern Munich,Yes,Bundesliga,Germany,#27,6/24/1992,27,1.80,Defender ,left,Relatives,Yes,adidas,Austria,No,UEFA,1,31,55000000,150000,55000000,12/18/2018,0,72,NA
Thibaut Nicolas Marc Courtois,Thibaut Courtois,Real Madrid,Yes,LaLiga,Spain,#13,5/11/1992,27,1.99,Goalkeeper,left,Christophe Henrotay,Yes,Nike,Belgium,No,UEFA,7,27,55000000,45150000,65000000,7/16/2018,1,79,NA
Joao Pedro Cavaco Cancelo,Joao Cancelo,Man City,Yes,Premier League,England,#27,5/27/1994,25,1.82,Defender ,right,Gestifute,Yes,Nike,Portugal,No,UEFA,0,25,55000000,120400000,55000000,12/20/2018,0,16,NA
Davinson Sánchez Mina,Davinson Sanchez,Spurs,Yes,Premier League,England,#6,6/12/1996,23,1.87,Defender ,right,Villarreal & Schena,Yes,Nike,Colombia,No,CONMEBOL,0,23,55000000,45000000,55000000,6/13/2019,0,28,NA
Inaki Williams Arthuer,Inaki Williams,Athletic,No,LaLiga,Spain,#9,6/15/1994,25,1.86,Forward ,right,Soccertalents,Yes,Nike,Spain,Yes,UEFA,2,38,50000000,0,50000000,6/11/2019,0,1,NA
Jordi Alba Ramos,Jordi Alba,FC Barcelona,Yes,LaLiga,Spain,#18,3/21/1989,30,1.70,Defender ,left,InterStarDeporte,Yes,adidas,Spain,Yes,UEFA,1,36,50000000,14010000,70000000,10/31/2018,1,70,Muscle Injury: Return unknown
Richarlison de Andrade,Richarlison,Everton,No,Premier League,England,#7,5/10/1997,22,1.79,Forward ,right,Velasco Sport Group,Yes,Nike,Brazil,No,CONMEBOL,3,35,50000000,53980000,50000000,6/13/2019,0,17,NA
Sergio Busquets i Burgos,Sergio Busquets,FC Barcelona,Yes,LaLiga,Spain,#5,7/16/1988,31,1.89,Midfielder ,right,TACTIC GRUP - ...,Yes,Nike,Spain,Yes,UEFA,1,35,50000000,0,80000000,1/1/2018,1,116,NA
Georginio Gregion Emile Wijnaldum,Georginio Wijnaldum,Liverpool,Yes,Premier League,England,#5,11/11/1990,29,1.75,Midfielder ,right,Football Mix B.V.,Yes,adidas,Netherlands,No,UEFA,1,35,50000000,52500000,50000000,6/13/2019,0,61,NA
José Luis Gayà Pena,Jose Gaya,Valencia,Yes,LaLiga,Spain,#14,5/25/1995,24,1.72,Defender ,left,Toldra Consulting ...,Yes,Other,Spain,Yes,UEFA,0,35,50000000,0,50000000,6/11/2019,0,7,NA
Rúben Diogo da Silva Neves,Ruben Neves,Wolves,No,Premier League,England,#8,3/13/1997,22,1.80,Midfielder ,right,Gestifute,Yes,Nike,Portugal,No,UEFA,2,35,50000000,17900000,50000000,9/12/2019,0,14,NA
,Donny van de Beek,Ajax,Yes,Eredivisie,Netherlands,#6,4/18/1997,22,1.84,Midfielder ,right,PUM,Yes,adidas,Netherlands,Yes,UEFA,5,34,50000000,0,50000000,9/19/2019,0,9,NA
,Declan Rice,West Ham,No,Premier League,England,#41,1/14/1999,20,1.85,Midfielder ,right,NA,No,Other,England,Yes,UEFA,0,34,50000000,0,50000000,9/12/2019,0,6,NA
,Julian Brandt,Bor. Dortmund,Yes,Bundesliga,Germany,#19,5/2/1996,23,1.86,Forward ,right,Relatives,Yes,Other,Germany,Yes,UEFA,1,33,50000000,25500000,50000000,6/5/2019,0,31,NA
,Antonio Rudiger,Chelsea,Yes,Premier League,England,#2,3/3/1993,26,1.90,Defender ,right,FSB – ...,Yes,Nike,Germany,No,UEFA,0,33,50000000,48000000,50000000,6/13/2019,0,30,Groin Injury: Return unknown
Luis Alberto Suárez Díaz,Luis Suarez,FC Barcelona,Yes,LaLiga,Spain,#9,1/24/1987,32,1.82,Forward ,right,Relatives,Yes,Puma,Uruguay,No,CONMEBOL,6,33,50000000,116520000,90000000,11/22/2015,4,113,NA
Kyle Andrew Walker,Kyle Walker,Man City,Yes,Premier League,England,#2,5/28/1990,29,1.83,Defender ,right,Base Soccer Agency ...,Yes,Nike,England,Yes,UEFA,1,33,50000000,58840000,50000000,3/23/2018,0,48,NA
Rodrigo Moreno Machado,Rodrigo,Valencia,Yes,LaLiga,Spain,#19,3/6/1991,28,1.82,Forward ,left,Relatives,Yes,Nike,Spain,Yes,UEFA,1,33,50000000,36000000,50000000,7/15/2018,0,22,Back Injury: Return unknown
,Alessio Romagnoli,AC Milan,No,Serie A,Italy,#13,1/12/1995,24,1.88,Defender ,left,Mino Raiola,Yes,Nike,Italy,Yes,UEFA,0,32,50000000,26250000,50000000,3/1/2019,0,12,NA
Thomas Teye Partey,Thomas,Atletico Madrid,Yes,LaLiga,Spain,#5,6/13/1993,26,1.85,Midfielder ,right,JJ SPORT MANAGERS SL,Yes,Nike,Ghana,No,CAF,1,32,50000000,0,50000000,2/28/2019,0,20,"Yellow card suspension - LaLigauntil Nov 24, 2019"
Marcelo Brozovic,Marcelo Brozovic,Inter,Yes,Serie A,Italy,#77,11/16/1992,27,1.81,Midfielder ,both,Miroslav Bicanic,Yes,Nike,Croatia,No,UEFA,2,32,50000000,10700000,50000000,6/6/2019,0,51,NA
,Giovani Lo Celso,Spurs,Yes,Premier League,England,#18,4/9/1996,23,1.77,Midfielder ,left,NA,No,Puma,Argentina,No,CONMEBOL,0,32,50000000,51000000,50000000,6/11/2019,0,22,NA
